repository,cbo_median,cbo_mean,dit_median,dit_mean,lcom_median,lcom_mean,loc_sum
android,4.0,9.320158102766799,1.0,1.6877470355731226,1.0,114.0909090909091,46750
AndroidHttpCapture,3.0,4.712933753943218,1.0,1.416403785488959,0.0,37.003154574132495,15900
AndroidImageSlider,2.0,4.063492063492063,1.0,1.5714285714285714,1.0,59.095238095238095,3813
androidmvp,2.0,3.2857142857142856,1.0,1.2857142857142858,0.0,3.0,274
AndroidNote,1.0,4.875,1.0,1.375,3.0,8.125,402
AndroidPdfViewer,1.0,4.947368421052632,1.0,1.2456140350877194,0.0,76.78947368421052,3328
AndroidPerformanceMonitor,3.0,4.074074074074074,1.0,1.2777777777777777,0.0,14.074074074074074,2234
AndroidPicker,3.0,5.435146443514644,1.0,1.6443514644351465,0.0,51.71548117154812,13541
AndroidProject,4.0,7.215083798882682,1.0,2.142458100558659,1.0,19.18435754189944,20468
AndroidSlidingUpPanel,2.0,4.9411764705882355,1.0,1.3529411764705883,0.0,132.0,2011
AndroidStaggeredGrid,3.0,5.861111111111111,1.5,1.8611111111111112,0.5,155.88888888888889,4010
AndroidSwipeLayout,2.0,3.7162162162162162,1.0,1.3243243243243243,0.0,58.9054054054054,2770
AndroidTutorialForBeginners,4.0,4.511627906976744,1.0,1.496124031007752,0.0,2.744186046511628,3957
AndroidUtilCode,2.0,4.16865671641791,1.0,1.364179104477612,0.0,144.95373134328358,39995
AndroidVideoCache,3.0,4.8311688311688314,1.0,1.4935064935064934,1.0,14.324675324675324,3217
AndroidViewAnimations,2.0,3.3780487804878048,2.0,1.8048780487804879,0.0,2.292682926829268,965
AndroidWiFiADB,2.0,2.8666666666666667,1.0,1.5,0.0,12.133333333333333,1096
Android_Data,2.0,2.0,1.0,1.0,3.0,3.0,116
AndroRAT,2.0,2.8727272727272726,1.0,1.1636363636363636,0.0,1.3818181818181818,1793
AndServer,3.0,5.0233644859813085,1.0,1.5420560747663552,1.0,48.05140186915888,12029
angel,5.0,7.424815983175605,2.0,1.7392218717139853,0.0,63.41955835962145,205066
ansj_seg,4.0,6.31651376146789,1.0,1.188073394495413,0.0,9.577981651376147,12130
Ant-Media-Server,2.0,5.713804713804714,1.0,1.3257575757575757,1.0,183.58838383838383,107293
AntennaPod,5.0,7.424354243542435,1.0,1.4858548585485856,1.0,21.51537515375154,51594
antlr4,3.0,5.7734138972809665,1.0,1.8353474320241692,0.0,48.30211480362538,41027
api-samples,7.0,6.404761904761905,1.0,1.0,0.0,4.380952380952381,2541
APIJSON,3.0,5.885714285714286,1.0,1.2428571428571429,6.0,1165.5714285714287,13844
Apktool,5.0,5.906593406593407,2.0,1.9175824175824177,1.0,51.0,12392
apollo,6.0,7.26729986431479,1.0,1.2645861601085482,0.0,14.985074626865671,33499
AppManager,5.0,7.916558861578267,1.0,1.4851228978007762,1.0,74.31694695989651,125215
Arduino,2.0,4.131111111111111,1.0,1.768888888888889,0.0,32.72222222222222,25793
armeria,5.0,6.451869158878504,1.0,1.3222741433021807,0.0,33.455607476635514,295711
ARouter,2.0,3.693877551020408,1.0,1.4081632653061225,0.0,17.448979591836736,3165
arthas,3.0,4.734243697478991,1.0,1.35609243697479,1.0,36.48739495798319,47711
ASimpleCache,2.0,4.448275862068965,1.0,1.4482758620689655,0.0,38.51724137931034,1993
async-http-client,4.0,5.776429809358752,1.0,1.5667244367417679,1.0,41.60831889081456,29335
atlas,4.0,5.638559708295351,1.0,1.4357338195077485,1.0,29.88422971741112,157514
atmosphere,3.0,5.496626180836707,1.0,1.3076923076923077,1.0,55.02564102564103,36660
aurora-imui,2.5,4.807017543859649,1.0,1.5292397660818713,0.0,50.26900584795322,17789
aurora,6.0,7.287625418060201,1.0,1.117056856187291,0.0,7.25752508361204,4956
austin,5.0,6.2298850574712645,1.0,1.1235632183908046,0.0,1.4511494252873562,6538
auto,3.0,4.114135206321334,1.0,1.7058823529411764,1.0,25.593503072870938,31941
AutoJs6,3.0,5.149886877828054,1.0,1.4649321266968325,1.0,37.23359728506787,111419
automq,4.0,7.189130670130995,1.0,1.4009959943704666,0.0,45.36126447980946,668967
aviatorscript,3.0,4.635496183206107,1.0,1.498091603053435,1.0,60.982824427480914,37362
AVLoadingIndicatorView,2.0,3.5652173913043477,1.0,1.7826086956521738,0.0,6.75,2161
awaitility,1.0,3.176470588235294,1.0,1.1941176470588235,0.0,18.58235294117647,5473
awesome-java-leetcode,2.0,1.6805555555555556,1.0,1.0,1.0,1.1666666666666667,1772
awesome-leetcode-resources,1.0,1.1818181818181819,1.0,1.0,0.0,4.7272727272727275,360
awesome-low-level-design,2.0,2.628787878787879,1.0,1.1388888888888888,0.0,3.051767676767677,14591
awesome-system-design-resources,1.0,0.8181818181818182,1.0,1.0,0.0,0.0,336
aws-doc-sdk-examples,5.0,7.039450089659295,1.0,1.0400478182904962,1.0,6.187089061566049,81846
aws-sdk-java,6.0,6.996019496822065,1.0,1.2052869548856708,1.0,123.24976628507929,8601503
azkaban,4.0,6.472330475448168,1.0,1.3522992985190958,1.0,35.84021823850351,93837
BackgroundLibrary,4.0,4.7899159663865545,1.0,1.2100840336134453,0.0,34.1764705882353,8029
BadgeView,2.0,4.3428571428571425,1.0,1.3142857142857143,0.0,49.885714285714286,1759
banner,5.0,6.082191780821918,2.0,1.8356164383561644,1.0,47.68493150684932,2724
BannerViewPager,3.0,5.410958904109589,1.0,1.4109589041095891,0.0,47.821917808219176,3154
barcodescanner,2.0,5.287671232876712,1.0,1.643835616438356,0.0,11.821917808219178,2796
baritone,4.0,6.6976744186046515,1.0,1.386892177589852,1.0,21.77167019027484,22297
baseAdapter,3.0,4.88,1.0,1.32,0.0,18.28,1563
BasePopup,3.0,5.887323943661972,1.0,1.6954225352112675,1.0,34.29401408450704,28287
bazel,5.0,7.536781932339987,1.0,1.622622059788211,1.0,67.98744260144316,588138
